1, Emissões, emissõe, n, O
1, Presidente, presidente, n, B-PESSOA
2, de, de, prp, O
3, a, o, art, O
4, Abreu, abreu, nprop, B-ORGANIZACAO
5, vai, ir, v-fin, O
6, representar, representar, v-inf, O
7, advogados, advogado, n, O
8, de, de, prp, O
9, mais, mais, pron-det, B-VALOR
10, de, de, prp, I-VALOR
11, 100, 100, num, I-VALOR
12, países, país, n, O

1, Mais, mais, adv, O
2, de, de, prp, O
3, um, um, art, O
4, milhão, milhão, n, O
5, de, de, prp, O
6, euros, euro, n, B-VALOR
7, para, para, prp, O
8, 24, 24, num, B-TEMPO
9, municípios, município, n, O
10, afetados, afetar, v-pcp, O
11, por, por, prp, O
12, a, o, art, O
13, Leslie, leslie, nprop, O

1, A, o, art, O
2, Libra, libra, prop, B-LOCAL
3, e, e, conj-c, O
4, a, o, art, O
5, maré, maré, n, O
6, de, de, prp, O
7, Zuckerberg, zuckerberg, prop, O

1, Concessões, concessõe, n, O
2, ., ., punc, O
3, Como, como, ks, O
4, o, o, art, O
5, Algarve, algarve, prop, B-PESSOA
6, Litoral, litoral, adj, I-PESSOA
7, se, se, pron-pers, O
8, tornou, tornar, v-fin, O
9, uma, um, art, O
10, grande, grande, adj, O
11, dor, dor, n, O
12, de, de, prp, O
13, cabeça, cabeça, n, O
14, para, para, prp, O
15, Pedro, pedro, nprop, B-PESSOA
16, Nuno, nuno, nprop, I-PESSOA
17, Santos, santos, nprop, I-PESSOA

1, Portugal, portugal, prop, B-LOCAL
2, se, se, pron-pers, O
3, financia-, financiar, v-fin, O
4, em, em, prp, O
5, 1,25, 1,25, num, B-VALOR
6, mil, mil, num, I-VALOR
7, milhões, milhõe, n, I-VALOR
8, de, de, prp, O
9, euros, euro, n, B-VALOR
10, a, a, prp, O
11, juros, juro, n, O
12, menos, menos, adv, O
13, negativos, negativos, h:adj:negativo:m_p:::, O

1, Só, só, pden, O
2, cinco, cinco, num, O
3, hospitais, hospital, n, O
4, públicos, público, adj, O
5, têm, têm, v-fin, O
6, resultados, resultado, n, O
7, positivos, positivo, adj, O

1, Trump, trump, N, O
2, leva, levar, v-fin, O
3, a, o, art, O
4, próxima, próximo, adj, O
5, cimeira, cimeira, h:n:cimeira:f_s::np-def:, O
6, de, de, prp, O
7, o, o, art, O
8, G7, g7, h:prop:g7:m_s:::, O
9, para, para, prp, O
10, um, um, art, O
11, clube, clube, n, O
12, de, de, prp, O
13, golfe, golfe, n, O
14, seu, seu, pron-det, O
15, em, em, prp, O
16, a, o, art, O
17, Florida, florida, prop, O

1, Teimosia, teimosia, prop, O
2, de, de, prp, O
3, Macron, macron, nprop, B-PESSOA
4, contra, contra, prp, O
5, o, o, art, O
6, alargamento, alargamento, n, O
7, é, é, v-fin, O
8, “, “, N, O
9, um, um, art, O
10, grave, grave, adj, O
11, erro, erro, n, O
12, histórico, histórico, adj, O
13, ”, ”, N, O
14, ,, ,, punc, O
15, acusa, acusar, v-fin, O
16, Juncker, juncker, prop, B-PESSOA

1, Portugal, portugal, prop, B-LOCAL
2, caminha, caminhar, v-fin, O
3, para, para, prp, O
4, a, o, art, O
5, igualdade, igualdade, n, O
6, de, de, prp, O
7, género, género, n, O
8, a, a, prp, O
9, ritmo, ritmo, n, O
10, mais, mais, adv, O
11, acelerado, acelerar, v-pcp, O
12, de, de, prp, O
13, o, o, pron-det, O
14, que, que, pron-indp, O
15, a, o, art, O
16, média, média, n, O
17, europeia, europeu, adj, O

1, Sebastião, sebastião, nprop, B-PESSOA
2, Salgado, salgar, v-pcp, I-PESSOA
3, dedica, dedicar, v-fin, O
4, prémio, prémio, n, O
5, de, de, prp, O
6, carreira, carreira, n, O
7, às, à, N, O
8, vítimas, vítimo, n, O
9, que, que, pron-indp, O
10, fotografou, fotografar, v-fin, O

1, Sentença, sentença, n, O
2, em, em, prp, O
3, a, o, art, O
4, Catalunha, catalunha, prop, O
5, :, :, punc, O
6, Europa, europa, prop, B-LOCAL
7, ,, ,, punc, O
8, agora, agora, adv, O
9, é, é, v-fin, O
10, com, com, prp, O
11, vÃ³s, vã³, N, O

1, Utentes, utente, n, O
2, de, de, prp, O
3, o, o, art, O
4, Lar, lar, N, O
5, Militar, militar, v-inf, O
6, temem, temer, v-fin, O
7, que, que, conj-s, O
8, polo, polo, N, O
9, de, de, prp, O
10, Alcoitão, alÃ§ar, v-fin, O
11, os, o, art, O
12, ``, ``, N, O
13, empurre, empurrar, v-fin, O
14, para, para, prp, O
15, um, um, art, O
16, canto, canto, n, O
17, '', '', N, O

1, Artista, artista, n, O
2, espanhol, espanhol, adj, O
3, contra, contra, prp, O
4, EMEL, emel, N, O
5, deixa, deixar, v-fin, O
6, 124, 124, num, O
7, pessoas, pessoa, n, O
8, à, à, ADP, O
9, espera, esperar, v-fin, O
10, de, de, prp, O
11, lugar, lugar, n, O

1, Bicampeão, bicampeão, n, O
2, mundial, mundial, adj, O
3, Gabriel, gabriel, nprop, O
4, Medina, medino, n, O
5, pede, pedir, v-fin, O
6, reavaliação, reavaliação, n, O
7, de, de, prp, O
8, bateria, bateria, n, O
9, em, em, prp, O
10, Peniche, peniche, prop, B-LOCAL

1, Huawei, huawei, N, O
2, nega, negar, v-fin, O
3, ter, ter, v-inf, O
4, ``, ``, N, O
5, instruções, instruçõe, n, O
6, '', '', N, O
7, de, de, prp, O
8, o, o, art, O
9, Estado, estado, n, B-PESSOA
10, chinês, chinê, n, O
11, para, para, prp, O
12, espionagem, espionagem, n, O

1, Artéria, artéria, n, O
2, histórica, histórico, adj, O
3, de, de, prp, O
4, Lisboa, lisboa, prop, B-LOCAL
5, em, em, prp, O
6, filme, filme, n, O

1, OE2020, oe2020, N, B-OBRA
2, de, de, prp, I-OBRA
3, Cabo, cabo, n, I-OBRA
4, Verde, verde, n, I-OBRA
5, prevê, prevê, v-fin, O
6, 5, 5, num, B-VALOR
7, mil, mil, num, I-VALOR
8, milhões, milhõe, n, I-VALOR
9, de, de, prp, O
10, escudos, escudo, n, O
11, para, para, prp, O
12, melhorar, melhorar, v-inf, O
13, financiamento, financiamento, n, O
14, às, à, N, O
15, empresas, empresa, n, O

1, Carta, carta, n, B-OBRA
2, a, a, prp, O
3, os, o, art, O
4, Psiconautas, psiconauta, n, B-PESSOA
5, Portugueses, portugueses, h:n-adj:português:m_p::np-idf:, I-PESSOA
6, :, :, punc, O
7, Presentes, presente, n, B-PESSOA
8, e, e, conj-c, O
9, Futuros, futuro, n, O

1, FMI, fmi, prop, O
2, :, :, punc, O
3, Portugal, portugal, prop, B-LOCAL
4, vai, ir, v-fin, O
5, crescer, crescer, v-inf, O
6, acima, acima, adv, O
7, de, de, prp, O
8, a, o, art, O
9, zona, zona, n, O
10, euro, euro, n, O
11, em, em, prp, O
12, 2019, 2019, N, O
13, e, e, conj-c, O
14, 2020, 2020, N, O

1, O, o, art, O
2, mundo, mundo, n, O
3, de, de, prp, O
4, a, o, art, O
5, National, national, adj, O
6, Geographic, geographic, N, O
7, em, em, prp, B-TEMPO
8, 130, 130, num, I-TEMPO
9, anos, ano, n, I-TEMPO
10, de, de, prp, O
11, vida, vida, n, O

1, Antero, antero, n, B-PESSOA
2, Luís, luís, nprop, I-PESSOA
3, ., ., punc, O
4, O, o, art, O
5, ex-espião, ex-espião, n, O
6, conservador, conservador, adj, O
7, de, de, prp, O
8, esquerda, esquerda, n, O
9, que, que, pron-indp, O
10, chegou, chegar, v-fin, O
11, a, o, art, O
12, secretário, secretário, n, O
13, de, de, h:prp:de::::, O
14, Estado, estado, h:prop:estado:m_s::np-idf:, B-PESSOA

1, Portugal, portugal, prop, B-LOCAL
2, tem, ter, v-fin, O
3, 117, 117, N, B-VALOR
4, mil, mil, num, I-VALOR
5, milionários, milionário, n, O
6, ., ., punc, O
7, Em, em, prp, B-TEMPO
8, 2024, 2024, N, I-TEMPO
9, ,, ,, punc, O
10, esse, esse, pron-det, O
11, número, número, n, O
12, vai, ir, v-fin, O
13, crescer, crescer, v-inf, O
14, 49, 49, num, O
15, %, %, n, B-VALOR

1, INAS, ino, N, O
2, Global, global, adj, O
3, Games, game, n, O
4, :, :, punc, O
5, Portugal, portugal, prop, B-LOCAL
6, se, se, pron-pers, O
7, sagra-, sagrar, v-fin, O
8, campeão, campeão, n, O
9, em, em, prp, O
10, o, o, art, O
11, basquetebol, basquetebol, n, O

1, ``, ``, N, O
2, Uma, um, art, O
3, vergonha, vergonha, n, O
4, que, que, pron-indp, O
5, não, não, adv, O
6, se, se, pron-pers, O
7, entende, entender, v-fin, O
8, '', '', N, O
9, ., ., punc, O
10, Partido, partido, nprop, O
11, de, de, prp, O
12, Cristas, crista, n, B-PESSOA
13, espera, esperar, v-fin, O
14, candidatos, candidato, n, O
15, até, até, prp, B-TEMPO
16, janeiro, janeiro, n, I-TEMPO

1, Quebras, quebra, n, O
2, em, em, prp, O
3, o, o, art, O
4, turismo, turismo, n, O
5, e, e, conj-c, O
6, imobiliário, imobiliário, adj, O
7, tiram, tirar, v-fin, O
8, receita, receita, n, O
9, fiscal, fiscal, adj, O
10, à, à, ADP, O
11, câmara, câmaro, n, O
12, de, de, prp, O
13, Lisboa, lisboa, prop, B-LOCAL

1, Sabes, saber, v, O
2, quantos, quanto, pron-det, O
3, milionários, milionário, n, O
4, existem, existir, v-fin, O
5, em, em, prp, O
6, Portugal, portugal, prop, B-LOCAL
7, ?, ?, punc, O
8, Daqui, daqui, prep, O
9, a, a, prp, O
10, cinco, cinco, num, O
11, anos, ano, n, O
12, haverá, haverá, v-fin, O
13, mais, mais, adv, O
14, 49, 49, num, O
15, %, %, n, B-VALOR

1, JP, jp, N, O
2, Morgan, morgan, prop, O
3, com, com, prp, O
4, lucro, lucro, n, O
5, e, e, conj-c, O
6, receita, receita, n, O
7, maiores, grande, adj, O
8, de, de, prp, O
9, o, o, pron-det, O
10, que, que, pron-indp, O
11, o, o, art, O
12, esperado, esperar, v-pcp, O
13, em, em, prp, O
14, o, o, art, O
15, 3°, 3°, N, O
16, trimestre, trimestre, n, O

1, JN, jn, prop, O
2, entre, entre, prp, O
3, 52, 52, num, O
4, jornais, jornal, n, O
5, centenários, centenário, n, O
6, candidatos, candidatar, v-pcp, O
7, a, a, prp, O
8, Memória, memória, n, O
9, de, de, prp, O
10, o, o, art, O
11, Mundo, mundo, n, B-LOCAL
12, de, de, prp, O
13, a, o, art, O
14, Unesco, unesco, n, B-ORGANIZACAO

1, Publicidade, publicidade, n, O
2, a, a, prp, O
3, alimentos, alimento, n, O
4, com, com, prp, O
5, mais, mais, pron-det, O
6, açúcar, açúcar, h:n:açúcar:m_s::np-idf:, O
7, e, e, conj-c, O
8, sal, sal, N, O
9, afastada, afastar, v-pcp, O
10, de, de, prp, O
11, as, o, art, O
12, escolas, escola, n, O
13, e, e, conj-c, O
14, de, de, prp, O
15, as, o, art, O
16, crianças, criança, n, O

1, Rússia, rússia, prop, O
2, quer, querer, v-fin, O
3, dar, dar, v-inf, O
4, a, a, prp, O
5, o, o, art, O
6, mundo, mundo, n, O
7, sinal, sinal, n, O
8, de, de, prp, O
9, ambição, ambição, n, O
10, crescente, crescente, adj, O
11, em, em, prp, O
12, o, o, art, O
13, continente, continente, n, O
14, africano, africano, adj, O

1, CDS-PP, cds-pp, h:prop:cds-pp:m_s::hyfen:, O
2, :, :, punc, O
3, Matos, matos, h:prop:matos:m_s:::, O
4, Chaves, chaves, prop, O
5, quer, querer, v-fin, O
6, regresso, regresso, h:n:regresso:m_s::np-def:, O
7, de, de, prp, O
8, as, o, art, O
9, eleições, eleições, h:n:eleição:f_p::np-def:, O
10, diretas, direto, n, O

1, CDS, cds, h:prop:cds:m_s:::, O
2, ., ., punc, O
3, “, “, N, O
4, Poupem, poupar, v-fin, O
5, o, o, art, O
6, partido, partido, n, O
7, à, à, ADP, O
8, ideia, ideia, n, O
9, de, de, prp, O
10, que, que, conj-s, O
11, ninguém, ninguém, pron-indp, O
12, o, o, pron-pers, O
13, quer, querer, v-fin, O
14, agarrar, agarrar, v-inf, O
15, ”, ”, N, O

1, Alimentos, alimento, n, O
2, com, com, prp, O
3, mais, mais, pron-det, O
4, açúcar, açúcar, h:n:açúcar:m_s::np-idf:, O
5, ,, ,, punc, O
6, sal, sal, N, O
7, e, e, conj-c, O
8, gorduras, gordura, n, O
9, banidos, banir, v-pcp, O
10, de, de, prp, O
11, a, o, art, O
12, publicidade, publicidade, n, O
13, para, para, prp, O
14, crianças, criança, n, O

1, Vítor, vítor, nprop, B-PESSOA
2, Gaspar, gaspar, v-inf, O
3, alerta, alerta, n, O
4, para, para, prp, O
5, ``, ``, N, O
6, pânico, pânico, n, O
7, de, de, prp, O
8, os, o, art, O
9, investidores, investidor, n, O
10, e, e, conj-c, O
11, disrupção, disrupção, n, O
12, de, de, prp, O
13, os, o, art, O
14, mercados, mercado, n, O
15, ”, ”, N, O

1, Ana, ana, nprop, O
2, Filipe, filipe, n, O
3, e, e, conj-c, O
4, Lenine, lenine, prop, B-PESSOA
5, Cunha, cunhar, v-fin, I-PESSOA
6, conquistam, conquistar, v-fin, O
7, medalhas, medalha, n, O
8, em, em, prp, O
9, os, o, art, O
10, INAS, ino, N, B-ABSTRACCAO
11, Global, global, adj, I-ABSTRACCAO
12, Games, game, n, I-ABSTRACCAO

1, Lenine, lenine, prop, B-PESSOA
2, Cunha, cunhar, v-fin, I-PESSOA
3, e, e, conj-c, O
4, Ana, ana, nprop, O
5, Filipe, filipe, n, O
6, conquistam, conquistar, v-fin, O
7, mais, mais, adv, O
8, duas, dois, num, O
9, medalhas, medalha, n, O
10, em, em, prp, O
11, os, o, art, O
12, INAS, ino, N, B-ABSTRACCAO
13, Global, global, adj, I-ABSTRACCAO
14, Games, game, n, I-ABSTRACCAO

1, Ana, ana, nprop, O
2, Filipe, filipe, n, O
3, e, e, conj-c, O
4, seleção, seleção, n, O
5, de, de, prp, O
6, futsal, futsal, n, O
7, conquistam, conquistar, v-fin, O
8, medalhas, medalha, n, O
9, de, de, prp, O
10, ouro, ouro, n, O
11, em, em, prp, O
12, os, o, art, O
13, INAS, ino, N, B-ABSTRACCAO
14, Global, global, adj, I-ABSTRACCAO
15, Games, game, n, I-ABSTRACCAO

1, Emissões, emissõe, n, O
2, atmosféricas, atmosférico, adj, O
3, aumentaram, aumentar, v-fin, O
4, em, em, prp, B-TEMPO
5, 2017, 2017, N, I-TEMPO

1, Algarve, algarve, prop, O
2, é, é, v-fin, O
3, o, o, art, O
4, melhor, bom, adj, O
5, destino, destino, n, O
6, de, de, prp, O
7, golfe, golfe, n, O
8, de, de, prp, O
9, o, o, art, O
10, mundo, mundo, n, O
11, para, para, prp, O
12, 2020, 2020, N, O

1, FMI, fmi, prop, O
2, quer, querer, v-fin, O
3, impostos, imposto, n, O
4, mais, mais, adv, O
5, altos, alto, adj, O
6, em, em, prp, O
7, o, o, art, O
8, carbono, carbono, n, O
9, e, e, conj-c, O
10, avisa, avisa, mv:v-fin:avisar:pr_3s_ind::fs-rel:, O
11, que, que, pron-det, O
12, fatura, faturo, n, O
13, de, de, prp, O
14, a, o, art, O
15, energia, energia, n, O
16, tem, ter, v-fin, O
17, de, de, prp, O
18, aumentar, aumentar, v-inf, O

1, Ana, ana, nprop, B-PESSOA
2, Paula, paula, nprop, I-PESSOA
3, Vitorino, vitorino, n, I-PESSOA
4, deixa, deixar, v-fin, O
5, inspirações, inspiraçõe, n, O
6, para, para, prp, O
7, o, o, art, O
8, sucessor, sucessor, n, O

1, O, o, pron-det, O
2, que, que, pron-indp, O
3, se, se, pron-pers, O
4, passou, passar, v-fin, O
5, em, em, prp, O
6, o, o, art, O
7, país, paí, n, O
8, e, e, conj-c, O
9, em, em, prp, O
10, o, o, art, O
11, mundo, mundo, n, O

1, “, “, N, O
2, Cabeças, cabeça, n, O
3, a, a, prp, O
4, rolar, rolar, v-inf, O
5, ”, ”, N, O
6, e, e, conj-c, O
7, versões, versõe, n, O
8, opostas, opor, v-pcp, O
9, sobre, sobre, prp, O
10, racismo, racismo, n, O
11, em, em, prp, O
12, o, o, art, O
13, Bulgária-Inglaterra, bulgária-inglaterra, n, B-PESSOA

1, Governo, governo, prop, B-ORGANIZACAO
2, cria, criar, v-fin, O
3, grupo, grupo, n, O
4, de, de, prp, O
5, trabalho, trabalho, n, O
6, para, para, prp, O
7, organizar, organizar, v-inf, O
8, Web, web, N, O
9, Summit, summit, N, O

1, Em, em, prep, B-TEMPO
2, 2017, 2017, N, I-TEMPO
3, o, o, art, O
4, potencial, potencial, adj, O
5, de, de, prp, O
6, aquecimento, aquecimento, n, O
7, global, global, adj, O
8, aumentou, aumentar, v-fin, O
9, 6,9, 6,9, num, O
10, %, %, n, B-VALOR
11, em, em, prp, O
12, Portugal, portugal, prop, B-LOCAL

1, Ana, ana, nprop, O
2, Filipe, filipe, n, O
3, e, e, conj-c, O
4, Lenine, lenine, prop, B-PESSOA
5, Cunha, cunhar, v-fin, I-PESSOA
6, conquistam, conquistar, v-fin, O
7, medalhas, medalha, n, O
8, em, em, prp, O
9, os, o, art, O
10, INAS, ino, N, B-ABSTRACCAO
11, Global, global, adj, I-ABSTRACCAO
12, Games, game, n, I-ABSTRACCAO

1, Xiaomi, xiaomi, N, O
2, MIUI, miui, N, O
3, 11, 11, num, B-VALOR
4, Global, global, adj, I-VALOR
5, começa, comer, v-fin, O
6, a, a, prp, O
7, chegar, chegar, v-inf, O
8, para, para, prp, B-TEMPO
9, a, o, art, I-TEMPO
10, semana, semana, n, I-TEMPO
11, a, a, prp, I-TEMPO
12, 14, 14, num, I-TEMPO
13, modelos, modelo, n, O
14, de, de, prp, O
15, smartphones, smartphones, prop, O

1, Suécia, suécia, prop, O
2, é, é, v-fin, O
3, a, o, art, O
4, campeã, campeã, n, O
5, em, em, prp, O
6, a, o, art, O
7, reputação, reputação, n, O
8, ., ., punc, O
9, Portugal, portugal, prop, B-LOCAL
10, fica, ficar, v-fin, O
11, em, em, prp, O
12, 16º, 16º, N, B-VALOR
13, lugar, lugar, n, O

1, Duas, dois, num, O
2, medalhas, medalha, n, O
3, de, de, prp, O
4, ouro, ouro, n, O
5, para, para, prp, O
6, Portugal, portugal, prop, B-LOCAL
7, em, em, prp, O
8, os, o, art, O
9, INAS, ino, N, B-ABSTRACCAO
10, Global, global, adj, I-ABSTRACCAO
11, Games, game, n, I-ABSTRACCAO

1, Suécia, suécia, prop, O
2, é, é, v-fin, O
3, a, o, art, O
4, campeã, campeã, n, O
5, em, em, prp, O
6, a, o, art, O
7, reputação, reputação, n, O
8, ., ., punc, O
9, Portugal, portugal, prop, B-LOCAL
10, fica, ficar, v-fin, O
11, em, em, prp, O
12, 16.º, 16.º, num, B-VALOR
13, lugar, lugar, n, O

1, “, “, N, O
2, O, o, art, O
3, desperdício, desperdício, n, O
4, zero, zero, num, O
5, se, se, pron-pers, O
6, torna-, tornar, v-fin, O
7, um, um, art, O
8, estilo, estilo, n, O
9, de, de, prp, O
10, vida, vida, n, O
11, quando, quando, adv, O
12, o, o, pron-pers, O
13, deixamos, deixar, v-fin, O
14, simplificar, simplificar, v-inf, O
15, o, o, art, O
16, nosso, nosso, pron-det, O
17, ela, ele, pron-pers, O
18, dia-, dia, N, O
19, ”, ”, N, O

1, ‘, ‘, N, O
2, Fatura, faturo, n, O
3, de, de, prp, O
4, o, o, art, O
5, Ambiente, ambiente, prop, B-LOCAL
6, ’, ’, N, O
7, revela, revelar, v-fin, O
8, que, que, conj-s, O
9, potencial, potencial, adj, O
10, de, de, prp, O
11, aquecimento, aquecimento, n, O
12, global, global, adj, O
13, é, é, v-fin, O
14, maior, grande, adj, O
15, que, que, conj-s, O
16, a, o, art, O
17, atividade, atividade, n, O
18, económica, económico, adj, O

1, Ali, ali, adv, O
2, Daei, daei, N, O
3, sente, sentir, v-fin, O
4, que, que, conj-s, O
5, Ronaldo, ronaldo, nprop, B-PESSOA
6, a, a, prp, O
7, ele, ele, pron-pers, O
8, vai, ir, v-fin, O
9, ``, ``, N, O
10, tirar, tirar, v-inf, O
11, '', '', N, O
12, o, o, art, O
13, recorde, recorde, n, O
14, mundial, mundial, adj, O
15, de, de, prp, O
16, golos, golo, n, O

1, Modelo, modelo, n, O
2, computacional, computacional, adj, O
3, ajuda, ajuda, n, O
4, a, a, prp, O
5, prever, prever, v-inf, O
6, surtos, surto, n, O
7, de, de, prp, O
8, ébola, ébola, prop, O

1, Lutas, lutas, h:n:luta:f_p::np-idf:, O
2, climáticas, climático, adj, O
3, e, e, conj-c, O
4, associativismo, associativismo, n, O
5, “, “, N, O
6, pós-político, pós-político, adj, O
7, ”, ”, N, O

1, Lenine, lenine, prop, B-PESSOA
2, Cunha, cunhar, v-fin, I-PESSOA
3, e, e, conj-c, O
4, Ana, ana, nprop, O
5, Filipe, filipe, n, O
6, conquistam, conquistar, v-fin, O
7, duas, dois, num, O
8, medalhas, medalha, n, O
9, em, em, prp, O
10, os, o, art, O
11, INAS, ino, N, B-ABSTRACCAO
12, Global, global, adj, I-ABSTRACCAO
13, Games, game, n, I-ABSTRACCAO

1, FIFA, fifa, N, O
2, ameaça, ameaça, n, O
3, alargar, alargar, v-inf, O
4, a, a, prp, O
5, nível, nível, n, O
6, global, global, adj, O
7, eventuais, eventual, adj, O
8, sanções, sançõe, n, O
9, de, de, prp, O
10, a, o, art, O
11, UEFA, uefa, N, B-ORGANIZACAO
12, à, à, ADP, O
13, Bulgária, bulgária, prop, B-PESSOA

1, Portugal, portugal, prop, B-LOCAL
2, fecha, fecha, mv:v-fin:fechar:pr_3s_ind::fs-rel:, O
3, INAS, ino, N, B-ORGANIZACAO
4, Global, global, adj, O
5, Games, game, n, O
6, com, com, prp, O
7, mais, mais, pron-det, O
8, um, um, num, O
9, ouro, ouro, n, O
10, e, e, conj-c, O
11, três, três, num, O
12, pratas, prata, n, O

1, Nokia, nokia, prop, O
2, 7.2, 7.2, N, O
3, chega, chegar, v-fin, O
4, a, a, prp, O
5, Portugal, portugal, prop, B-LOCAL
6, com, com, prp, O
7, Snapdragon, snapdragon, nprop, B-ORGANIZACAO
8, 660, 660, N, I-ORGANIZACAO
9, de, de, prp, O
10, a, o, art, O
11, Qualcomm, qualcomm, N, O
12, e, e, conj-c, O
13, câmara, câmaro, n, O
14, tripla, tripla, n, O
15, de, de, prp, O
16, 48, 48, num, O
17, MP, mp, prop, O

1, Relatório, relatório, n, O
2, de, de, prp, O
3, o, o, art, O
4, G7, g7, prop, B-COISA
5, levanta, levantar, v-fin, O
6, preocupações, preocupaçõe, n, O
7, com, com, prp, O
8, a, o, art, O
9, Libra, libra, prop, B-LOCAL
10, ,, ,, punc, O
11, criptomoeda, criptomoeda, n, O
12, de, de, prp, O
13, o, o, art, O
14, Facebook, facebook, prop, O

1, Xiaomi, xiaomi, N, O
2, lança, lança, v-fin, O
3, JoyUI, joyui, N, O
4, 11, 11, num, B-VALOR
5, baseada, basear, v-pcp, O
6, em, em, prp, O
7, a, o, art, O
8, MIUI, miui, N, O
9, 11, 11, num, B-VALOR
10, para, para, prp, O
11, smartphones, smartphones, prop, O
12, Black, black, prop, O
13, Shark, shark, prop, O

1, Cuidado, cuidado, n, O
2, com, com, prp, O
3, a, o, art, O
4, máquina, máquino, n, O
5, multiplicadora, multiplicadora, adv, O
6, de, de, prp, O
7, países, país, n, O

1, Portugal, portugal, prop, B-LOCAL
2, tem, ter, v-fin, O
3, 117, 117, N, B-VALOR
4, mil, mil, num, I-VALOR
5, milionários, milionário, n, O

1, Indústria, indústria, n, O
2, automóvel, automóvel, n, O
3, ., ., punc, O
4, FMI, fmi, h:prop:fmi:m_s:::, O
5, deixa, deixar, v-fin, O
6, avisos, aviso, n, O
7, sobre, sobre, prp, O
8, sector, sector, n, O
9, que, que, pron-indp, O
10, vale, valer, v-fin, O
11, 15, 15, num, B-VALOR
12, %, %, n, I-VALOR
13, de, de, prp, O
14, as, o, art, O
15, exportações, exportaçõe, n, O
16, portuguesas, portuguÃªs, adj, O

1, Marcas, marca, n, O
2, de, de, prp, O
3, o, o, art, O
4, voto, voto, n, O
5, emigrante, emigrante, adv, O
6, :, :, punc, O
7, PAN, pan, N, O
8, foi, ser, v-fin, O
9, a, a, prp, O
10, 3.ª, 3.ª, N, O
11, força, força, n, O
12, ,, ,, punc, O
13, nulos, nulo, adj, O
14, e, e, conj-c, O
15, brancos, branco, adj, O
16, dispararam, disparar, v-fin, O

1, Como, como, ks, O
2, a, o, art, O
3, Huawei, huawei, N, B-ORGANIZACAO
4, está, está, v-fin, O
5, a, a, prp, O
6, conseguir, conseguir, v-inf, O
7, sacudir, sacudir, v-inf, O
8, pressão, pressão, n, O

1, Partidos, partidos, h:n:partido:m_p::np-idf:, O
2, ecologistas, ecologista, n, O
3, se, se, pron-pers, O
4, tornam-, tornar, v-fin, O
5, a, o, art, O
6, segunda, segunda, n, O
